Family,SpeciesName,WoodDensity,Reference,,,,,,
Rhizophoraceae,Gynotroches axillaris,0.52,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Flacourtiaceae,Homalium dictyoneurum,0.79,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Dipterocarpaceae,Hopea mengarawan,0.56,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Myristicaceae,Horsfieldia sucosa,0.55,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Apocynaceae,Hunteria zeylanica,0.72,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Rubiaceae,Ixora concinna,0.81,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Rubiaceae,Ixora grandifolia,0.69,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Apocynaceae,Kibatalia maingayi,0.5,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Myristicaceae,Knema furfuracea,0.55,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Myristicaceae,Knema hookeriana,0.55,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Myristicaceae,Knema laurina,0.47,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Myristicaceae,Knema scortechinii,0.66,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Myristicaceae,Knema stenophylla,0.5,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Celastraceae,Kokoona reflexa,0.79,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Sapindaceae,Lepisanthes senegalensis,0.63,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Fagaceae,Lithocarpus curtisii,0.85,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Lauraceae,Litsea castanea,0.41,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Lauraceae,Litsea magnifica,0.4,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Sapotaceae,Madhuca malaccensis,0.64,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Melastomataceae,Memecylon lilacinum,0.82,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Melastomataceae,Memecylon minutiflorum,0.74,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Melastomataceae,Memecylon pubescens,0.82,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Clusiaceae,Mesua ferrea,0.92,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Annonaceae,Mezzettia leptopoda,0.58,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Pandaceae,Microdesmis caseariifolia,0.71,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Leguminosae: Phaseolus-Group,Millettia atropurpurea,0.61,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Annonaceae,Mitrephora maingayi,0.76,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Myristicaceae,Myristica cinnamomea,0.57,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Rubiaceae,Nauclea officinalis,0.66,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Dipterocarpaceae,Neobalanocarpus heimii,0.76,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Euphorbiaceae,Neoscortechinia kingii,0.59,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Olacaceae,Ochanostachys amentacea,0.77,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Dipterocarpaceae,Parashorea densiflora,0.67,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Anacardiaceae,Parishia insignis,0.56,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Flacourtiaceae,Paropsia vareciformis,0.68,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Rubiaceae,Pavetta species 1',0.69,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Sapotaceae,Payena lucida,0.63,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Anacardiaceae,Pentaspadon motleyi,0.5,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Tiliaceae,Pentace strychnoidea,0.65,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Annonaceae,Polyalthia glauca,0.45,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Annonaceae,Polyalthia rumphii,0.58,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Sapindaceae,Pometia pinnata,0.65,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Annonaceae,Popowia pisocarpa,0.65,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Rosaceae,Prunus arborea,0.46,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Rosaceae,Prunus grisea,0.55,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Melastomataceae,Pternandra coerulescens,0.53,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Fagaceae,Quercus argentata,0.74,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Meliaceae,Reinwardtiodendron cinereum,0.8,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Meliaceae,Sandoricum koetjape,0.43,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Burseraceae,Santiria apiculata,0.58,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Burseraceae,Santiria griffithii,0.68,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Burseraceae,Santiria laevigata,0.53,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Flacourtiaceae,Scaphocalyx spathacea,0.69,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Flacourtiaceae,Scolopia spinosa,0.74,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Dipterocarpaceae,Shorea bracteolata,0.54,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Dipterocarpaceae,Shorea macroptera,0.43,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Dipterocarpaceae,Shorea ochrophloia,0.73,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Leguminosae: Caesalpinia-Group,Sindora coriacea,0.55,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Symplocaceae,Symplocos crassipes,0.5,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Rubiaceae,Timonius wallichianus,0.76,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Rubiaceae,Urophyllum glabrum,0.52,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Annonaceae,Xylopia magna,0.64,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Annonaceae,Xylopia malayana,0.59,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Anacardiaceae,Semecarpus reticulata,0.58,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Burseraceae,Garuga floribunda ,0.69,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Meliaceae,Chukrasia tabularis,0.74,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Meliaceae,Toona ciliata,0.49,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Meliaceae,Dysoxylum binectariferum,0.5,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Simaroubaceae,Ailanthus fordii,0.57,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Sapindaceae,Pometia tomentosa,0.63,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Sapindaceae,Nephelium chryseum,0.73,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Sapindaceae,Harpullia cupanoides ,0.81,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Malvaceae,Pterospermum menglunense,0.49,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Combretaceae,Terminalia bellirica,0.66,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Clusiaceae,Garcinia cowa,0.55,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Clusiaceae,Garcinia xanthochymus,0.79,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Euphorbiaceae,Trigonostemon thyrsoideus ,0.62,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Euphorbiaceae,Baccaurea ramilfora,0.57,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Euphorbiaceae,Mallotus paniculatus,0.34,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Euphorbiaceae,Epiprinus siletianus ,0.68,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Elaeocarpaceae,Elaeocarpus austroyunnanensis ,0.73,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Fabaceae,Albizia lucidior,0.63,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Polygalaceae,Xanthophyllum  siamense ,0.43,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Moraceae,Antiaris toxicaria,0.4,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Moraceae,Ficus chrysocarpa ,0.48,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Moraceae,Artocarpus lacucha ,0.65,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Ulmaceae,Celtis timorensis ,0.58,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Apocynacea,Winchia calophylla,0.53,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Rubiaceae,Neonauclea tsaiana,0.77,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Bignoniaceae,Mayodendron igneum ,0.59,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Bignoniaceae ,Radermachera microcalyx,0.57,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Verbenaceae ,Gmelina arborea ,0.55,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Oleaceae ,Linociera ramiflora,0.86,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Lecythidaceae , Barringtonia fusicarpa ,0.63,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Symplocaceae ,Symplocos cochinchinensis,0.52,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Lauraceae, Phoebe puwenensis ,0.57,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Lauraceae,Actinodaphne henryi ,0.71,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Lauraceae,Litsea pierrei,0.45,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Lauraceae,Machilus rufipes,0.71,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Lauraceae,Alseodaphne andersonii ,0.57,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Magnoliaceae,Magnolia henryi ,0.84,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Magnoliaceae,Paramichelia baillonii,0.67,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
Myristicaceae,Horsfieldia tetratepala,0.54,"Fan et al., 2012. Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density",,,,,,
NA,Aspidosperma cruenta,0.73,"McCulloh et al., 2011. Comparative hydraulic architecture of tropical tree species representing a range of successional stages and wood density",,,,,,
NA,Tachigalia versicolor,0.57,"McCulloh et al., 2011. Comparative hydraulic architecture of tropical tree species representing a range of successional stages and wood density",,,,,,
NA,Tapirira guianensis,0.54,"McCulloh et al., 2011. Comparative hydraulic architecture of tropical tree species representing a range of successional stages and wood density",,,,,,
NA,Vochysia ferruginea,0.4,"McCulloh et al., 2011. Comparative hydraulic architecture of tropical tree species representing a range of successional stages and wood density",,,,,,
NA,Cecropia insignis ,0.27,"McCulloh et al., 2011. Comparative hydraulic architecture of tropical tree species representing a range of successional stages and wood density",,,,,,
NA,Allocasuarina monilifera,0.58,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Aotus ericoides,0.68,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Banksia marginata,0.52,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Eucalyptus amygdalina,0.6,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Leptospermum scoparium,0.74,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Leucopogon ericoides,0.71,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Bossiaea cinerea,0.83,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Davesia latifolia,0.65,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Epacris impressa,0.7,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Eucalyptus tenuiramis,0.75,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Leucopogon ericoides,0.68,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Persoonia juniperina,0.65,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Acacia mangium,0.4,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Allocasuarina torulosa ,0.62,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Alphitonia excelsa ,0.37,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Chionanthus ramiflorus ,0.56,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Eucalyptus platyphylla  ,0.49,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Ixora timorensis ,0.52,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Acacia flavescens,0.76,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Corymbia intermedia,0.65,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Gastrolobium grandiflorum,0.7,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Grevillea parallela,0.63,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Lophostemon suaveolens,0.56,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
NA,Persoonia falcata,0.64,"Zieminska et al., 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms",,,,,,
Fabaceae ,Acacia floribunda ,0.627,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Araliaceae,Astrotricha floccosa ,0.457,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Malvaceae,Lasiopetalum ferrugineum,0.738,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Proteaceae ,Lomatia silaifolia ,0.557,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Proteaceae,Persoonialinearis ,0.546,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Fabaceae ,Pultenaea flexilis ,0.581,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Meliaceae ,Synoum glandulosum,0.407,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Myrtaceae ,Syncarpia glomulifera ,0.62,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Fabaceae, Acacia suaveolens,0.586,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Rutaceae ,Boronia ledifolia ,0.666,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Rutaceae ,Eriostemon australasius ,0.665,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Proteaceae ,Hakea dactyloides ,0.656,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Proteaceae ,Lambertia formosa ,0.581,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Myrtaceae,Leptospermum trinervium,0.648,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Proteaceae ,Persoonia levis,0.546,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Fabaceae,Phyllota phylicoides,0.678,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Fabaceae ,Acacia doratoxylon ,0.768,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Malvaceae,Brachychiton populneus ,0.514,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Sapindaceae, Dodonaea viscosa ,0.897,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Myoporaceae,Eremophilalongifolia ,0.621,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
 Rutaceae    ,Geijera parviflora ,0.744,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Proteaceae,Hakea tephrosperma ,0.695,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Rutaceae,Philotheca difformis ,0.765,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Fabaceae,Senna artemisioides,0.736,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Fabaceae,Acacia havilandiorum ,0.861,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Euphorbiaceae ,Bertya cunninghamii ,0.64,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Euphorbiaceae ,Beyeria opaca ,0.693,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Asteraceae ,Cassinia laevis ,0.641,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Myoporaceae ,Eremophila glabra ,0.687,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Myrtaceae,Eucalyptus socialis ,0.685,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Myrtaceae ,Melaleuca uncinata,0.727,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
Asteraceae,Olearia pimeleoides,0.759,"Onoda et al., 2009. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species",,,,,,
NA,Dialium pach,0.779835079,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Entandrophragma con,0.709062182,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Gilbertiodendron dew,0.834644034,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Hallea sti,0.543272177,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Klainedoxa gab,1.118776852,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Macaranga sta,0.370080349,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Pentaclethra eetv,0.695168598,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Piptadeniastrum afr,0.795531079,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Plagiostyles afr,0.71820069,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Polyalthia sua,0.867134556,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Pycnanthus ang,0.619026021,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Staudtia kam,0.829927088,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Strombosia pus,0.958610938,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Uapaca guin,0.814897244,"Bastin et al.,2015. Wood Specific Gravity Variations and Biomass of Central African Tree Species: The Simple Choice of the Outer Wood",,,,,,
NA,Castanopsis hystrix,0.511,"Wassernberg et al., 2014. Analysis of wood density profiles of tree stems: incorporating vertical variations to optimize wood sampling strategies for density and biomass estimations",,,,,,
NA,Erythrophleum fordii,0.739,"Wassernberg et al., 2014. Analysis of wood density profiles of tree stems: incorporating vertical variations to optimize wood sampling strategies for density and biomass estimations",,,,,,
NA,Mytilaria laosensis,0.469,"Wassernberg et al., 2014. Analysis of wood density profiles of tree stems: incorporating vertical variations to optimize wood sampling strategies for density and biomass estimations",,,,,,
NA,Pinus massoniana,0.432,"Wassernberg et al., 2014. Analysis of wood density profiles of tree stems: incorporating vertical variations to optimize wood sampling strategies for density and biomass estimations",,,,,,
NA,Quercus petraea,0.564,"Wassernberg et al., 2014. Analysis of wood density profiles of tree stems: incorporating vertical variations to optimize wood sampling strategies for density and biomass estimations",,,,,,
NA,Toona sinensis,0.378,"Wassernberg et al., 2014. Analysis of wood density profiles of tree stems: incorporating vertical variations to optimize wood sampling strategies for density and biomass estimations",,,,,,
NA,Aningeria robusta ,0.5,"Yeboeh et al., 2013. Variation in wood density and carbon content of tropical plantation tree species from Ghana",,,,,,
NA,Antiaris toxicaria ,0.36,"Yeboeh et al., 2013. Variation in wood density and carbon content of tropical plantation tree species from Ghana",,,,,,
