feature,family,logical_type,dtype,missing_pct,n_unique,mean,min,max,sample_values
V271,Vesta Engineered,Numerical,float64,76.05,2787,9.4451,0.0,4000.0,
V272,Vesta Engineered,Numerical,float64,76.05,2507,8.4646,0.0,4000.0,
V273,Vesta Engineered,Numerical,float64,77.91,7177,73.8255,0.0,51200.0,
V274,Vesta Engineered,Numerical,float64,77.91,8315,107.1516,0.0,66000.0,
V275,Vesta Engineered,Numerical,float64,77.91,7776,88.8999,0.0,51200.0,
V276,Vesta Engineered,Numerical,float64,77.91,2263,31.7973,0.0,104060.0,
V277,Vesta Engineered,Numerical,float64,77.91,2540,51.9566,0.0,104060.0,
V278,Vesta Engineered,Numerical,float64,77.91,2398,42.3282,0.0,104060.0,
V279,Vesta Engineered,Numerical,float64,0.0,881,1.1231,0.0,880.0,
V280,Vesta Engineered,Numerical,float64,0.0,975,1.9671,0.0,975.0,
V281,Vesta Engineered,Numerical,float64,0.21,23,0.0878,0.0,22.0,
V282,Vesta Engineered,Numerical,float64,0.21,33,0.8172,0.0,32.0,
V283,Vesta Engineered,Numerical,float64,0.21,62,0.9911,0.0,68.0,
V284,Vesta Engineered,Discrete Numerical,float64,0.0,13,0.0885,0.0,12.0,
V285,Vesta Engineered,Numerical,float64,0.0,96,1.1677,0.0,95.0,
V286,Vesta Engineered,Discrete Numerical,float64,0.0,9,0.0315,0.0,8.0,
V287,Vesta Engineered,Numerical,float64,0.0,32,0.3586,0.0,31.0,
V288,Vesta Engineered,Discrete Numerical,float64,0.21,11,0.1843,0.0,10.0,
V289,Vesta Engineered,Discrete Numerical,float64,0.21,13,0.236,0.0,12.0,
V290,Vesta Engineered,Numerical,float64,0.0,58,1.103,1.0,67.0,
V291,Vesta Engineered,Numerical,float64,0.0,219,1.6598,1.0,1055.0,
V292,Vesta Engineered,Numerical,float64,0.0,173,1.2399,1.0,323.0,
V293,Vesta Engineered,Numerical,float64,0.0,870,0.9426,0.0,869.0,
V294,Vesta Engineered,Numerical,float64,0.0,1286,2.3139,0.0,1286.0,
V295,Vesta Engineered,Numerical,float64,0.0,928,1.4334,0.0,928.0,
V296,Vesta Engineered,Numerical,float64,0.21,94,0.3289,0.0,93.0,
V297,Vesta Engineered,Discrete Numerical,float64,0.0,13,0.089,0.0,12.0,
V298,Vesta Engineered,Numerical,float64,0.0,94,0.2988,0.0,93.0,
V299,Vesta Engineered,Numerical,float64,0.0,50,0.1717,0.0,49.0,
V300,Vesta Engineered,Discrete Numerical,float64,0.21,12,0.0455,0.0,11.0,
V301,Vesta Engineered,Discrete Numerical,float64,0.21,14,0.052,0.0,13.0,
V302,Vesta Engineered,Discrete Numerical,float64,0.0,17,0.2518,0.0,16.0,
V303,Vesta Engineered,Numerical,float64,0.0,21,0.2831,0.0,20.0,
V304,Vesta Engineered,Discrete Numerical,float64,0.0,17,0.2642,0.0,16.0,
V305,Vesta Engineered,Binary,float64,0.0,2,,,,"1.0: 590,524; nan: 12; 2.0: 4"
V306,Vesta Engineered,Numerical,float64,0.0,16210,139.7487,0.0,108800.0,
V307,Vesta Engineered,Numerical,float64,0.0,37367,408.6824,0.0,145765.0,
V308,Vesta Engineered,Numerical,float64,0.0,23064,230.4132,0.0,108800.0,
V309,Vesta Engineered,Numerical,float64,0.0,4236,10.996,0.0,55125.0,
V310,Vesta Engineered,Numerical,float64,0.0,19136,118.1957,0.0,55125.0,
V311,Vesta Engineered,Numerical,float64,0.0,3098,4.2022,0.0,55125.0,
V312,Vesta Engineered,Numerical,float64,0.0,8068,39.1739,0.0,55125.0,
V313,Vesta Engineered,Numerical,float64,0.21,5529,21.3515,0.0,4817.4702,
V314,Vesta Engineered,Numerical,float64,0.21,11377,43.3192,0.0,7519.8701,
V315,Vesta Engineered,Numerical,float64,0.21,6973,26.807,0.0,4817.4702,
V316,Vesta Engineered,Numerical,float64,0.0,9814,109.8185,0.0,93736.0,
V317,Vesta Engineered,Numerical,float64,0.0,15184,247.6067,0.0,134021.0,
V318,Vesta Engineered,Numerical,float64,0.0,12309,162.1534,0.0,98476.0,
V319,Vesta Engineered,Numerical,float64,0.0,4799,18.3725,0.0,104060.0,
V320,Vesta Engineered,Numerical,float64,0.0,6439,42.0731,0.0,104060.0,
V321,Vesta Engineered,Numerical,float64,0.0,5560,28.3266,0.0,104060.0,
V322,Vesta Engineered,Numerical,float64,86.05,881,6.2203,0.0,880.0,
V323,Vesta Engineered,Numerical,float64,86.05,1411,13.1038,0.0,1411.0,
V324,Vesta Engineered,Numerical,float64,86.05,976,9.1846,0.0,976.0,
V325,Vesta Engineered,Discrete Numerical,float64,86.05,13,0.0585,0.0,12.0,
V326,Vesta Engineered,Numerical,float64,86.05,45,0.851,0.0,44.0,
V327,Vesta Engineered,Discrete Numerical,float64,86.05,19,0.2966,0.0,18.0,
V328,Vesta Engineered,Discrete Numerical,float64,86.05,16,0.3368,0.0,15.0,
V329,Vesta Engineered,Numerical,float64,86.05,100,1.3128,0.0,99.0,
V330,Vesta Engineered,Numerical,float64,86.05,56,0.7759,0.0,55.0,
V331,Vesta Engineered,Numerical,float64,86.05,1758,721.7419,0.0,160000.0,
V332,Vesta Engineered,Numerical,float64,86.05,2453,1375.7836,0.0,160000.0,
V333,Vesta Engineered,Numerical,float64,86.05,1971,1014.6228,0.0,160000.0,
V334,Vesta Engineered,Numerical,float64,86.05,143,9.807,0.0,55125.0,
V335,Vesta Engineered,Numerical,float64,86.05,672,59.1645,0.0,55125.0,
V336,Vesta Engineered,Numerical,float64,86.05,356,28.5309,0.0,55125.0,
V337,Vesta Engineered,Numerical,float64,86.05,254,55.3524,0.0,104060.0,
V338,Vesta Engineered,Numerical,float64,86.05,380,151.1605,0.0,104060.0,
V339,Vesta Engineered,Numerical,float64,86.05,334,100.7009,0.0,104060.0,
id_01,Identity,Numerical,float64,75.58,77,-10.1705,-100.0,0.0,
id_02,Identity,Numerical,float64,76.15,115655,174716.5847,1.0,999595.0,
id_03,Identity,Numerical,float64,88.77,24,0.0602,-13.0,10.0,
id_04,Identity,Discrete Numerical,float64,88.77,15,-0.0589,-28.0,0.0,
id_05,Identity,Numerical,float64,76.82,93,1.6156,-72.0,52.0,
id_06,Identity,Numerical,float64,76.82,101,-6.6987,-100.0,0.0,
id_07,Identity,Numerical,float64,99.13,84,13.2854,-46.0,61.0,
id_08,Identity,Numerical,float64,99.13,94,-38.6004,-100.0,0.0,
id_09,Identity,Numerical,float64,87.31,46,0.091,-36.0,25.0,
id_10,Identity,Numerical,float64,87.31,62,-0.3011,-100.0,0.0,
id_11,Identity,Numerical,float64,76.13,365,99.7453,90.0,100.0,
id_12,Identity,Binary,object,75.58,2,,,,"nan: 446,307; NotFound: 123,025; Found: 21,208"
id_13,Identity,Numerical,float64,78.44,54,48.0531,10.0,64.0,
id_14,Identity,Numerical,float64,86.45,25,-344.5071,-660.0,720.0,
id_15,Identity,Categorical,object,76.13,3,,,,"Found (67,728); New (61,612); Unknown (11,645)"
id_16,Identity,Binary,object,78.1,2,,,,"nan: 461,200; Found: 66,324; NotFound: 63,016"
id_17,Identity,Numerical,float64,76.4,104,189.4514,100.0,229.0,
id_18,Identity,Discrete Numerical,float64,92.36,18,14.2373,10.0,29.0,
id_19,Identity,Numerical,float64,76.41,522,353.1282,100.0,671.0,
id_20,Identity,Numerical,float64,76.42,394,403.8827,100.0,661.0,
id_21,Identity,Numerical,float64,99.13,490,368.2698,100.0,854.0,
id_22,Identity,Numerical,float64,99.12,25,16.0027,10.0,44.0,
id_23,Identity,Categorical,object,99.12,3,,,,"IP_PROXY:TRANSPARENT (3,489); IP_PROXY:ANONYMOUS (1,071); IP_PROXY:HIDDEN (609)"
id_24,Identity,Discrete Numerical,float64,99.2,12,12.8009,11.0,26.0,
id_25,Identity,Numerical,float64,99.13,341,329.6089,100.0,548.0,
id_26,Identity,Numerical,float64,99.13,95,149.0703,100.0,216.0,
id_27,Identity,Binary,object,99.12,2,,,,"nan: 585,371; Found: 5,155; NotFound: 14"
id_28,Identity,Binary,object,76.13,2,,,,"nan: 449,562; Found: 76,232; New: 64,746"
id_29,Identity,Binary,object,76.13,2,,,,"nan: 449,562; Found: 74,926; NotFound: 66,052"
id_30,Identity,Categorical,object,86.87,75,,,,"Windows 10 (21,155); Windows 7 (13,110); iOS 11.2.1 (3,722); iOS 11.1.2 (3,699); Android 7.0 (2,871); Mac OS X 10_12_6 (2,559); Mac OS X 10_11_6 (2,348); iOS 11.3.0 (2,016); Windows 8.1 (1,914); Mac OS X 10_10_5 (1,651); iOS 11.2.6 (1,647); iOS 10.3.3 (1,558); ... (+63 more)"
id_31,Identity,Categorical,object,76.25,130,,,,"chrome 63.0 (22,000); mobile safari 11.0 (13,423); mobile safari generic (11,474); ie 11.0 for desktop (9,030); safari generic (8,195); chrome 62.0 (7,182); chrome 65.0 (6,871); chrome 64.0 (6,711); chrome 63.0 for android (5,806); chrome generic (4,778); chrome 66.0 (4,264); edge 16.0 (4,188); ... (+118 more)"
id_32,Identity,Discrete Numerical,float64,86.86,4,26.5086,0.0,32.0,
id_33,Identity,Categorical,object,87.59,260,,,,"1920x1080 (16,874); 1366x768 (8,605); 1334x750 (6,447); 2208x1242 (4,900); 1440x900 (4,384); 1600x900 (3,510); 2048x1536 (3,482); 1280x800 (2,149); 2560x1600 (2,093); 2560x1440 (1,865); 2880x1800 (1,756); 1280x1024 (1,743); ... (+248 more)"
id_34,Identity,Categorical,object,86.82,4,,,,"match_status:2 (60,011); match_status:1 (17,376); match_status:0 (415); match_status:-1 (3)"
id_35,Identity,Binary,object,76.13,2,,,,"nan: 449,555; T: 77,814; F: 63,171"
id_36,Identity,Binary,object,76.13,2,,,,"nan: 449,555; F: 134,066; T: 6,919"
id_37,Identity,Binary,object,76.13,2,,,,"nan: 449,555; T: 110,452; F: 30,533"
id_38,Identity,Binary,object,76.13,2,,,,"nan: 449,555; F: 73,922; T: 67,063"
DeviceType,Device,Binary,object,76.16,2,,,,"nan: 449,730; desktop: 85,165; mobile: 55,645"
DeviceInfo,Device,Categorical,object,79.91,1786,,,,"Windows (47,722); iOS Device (19,782); MacOS (12,573); Trident/7.0 (7,440); rv:11.0 (1,901); rv:57.0 (962); SM-J700M Build/MMB29K (549); SM-G610M Build/MMB29K (461); SM-G531H Build/LMY48B (410); rv:59.0 (362); SM-G935F Build/NRD90M (334); SM-G955U Build/NRD90M (328); ... (+1774 more)"
