,SpeciesName,Genus,Species,Family,Binomial
7602,Diospyros sppPacific3,Diospyros,,Ebenaceae,Diospyros 
7603,Diospyros sppPalanan1,Diospyros,,Ebenaceae,Diospyros 
7604,Diospyros sppPalanan2,Diospyros,,Ebenaceae,Diospyros 
7605,Diospyros sppPerinet1,Diospyros,,Ebenaceae,Diospyros 
7606,Diospyros sppPugu1,Diospyros,,Ebenaceae,Diospyros 
7607,Diospyros sppPugu2,Diospyros,,Ebenaceae,Diospyros 
7608,Diospyros sppRAINFOR1,Diospyros,,Ebenaceae,Diospyros 
7609,Diospyros sppRionegro1,Diospyros,,Ebenaceae,Diospyros 
7610,Diospyros sppSCA1,Diospyros,,Ebenaceae,Diospyros 
7611,Diospyros sppSCA4,Diospyros,,Ebenaceae,Diospyros 
7612,Diospyros sppSL1,Diospyros,,Ebenaceae,Diospyros 
7613,Diospyros sppSR1,Diospyros,,Ebenaceae,Diospyros 
7614,Diospyros sppSantiago1,Diospyros,,Ebenaceae,Diospyros 
7615,Diospyros sppSantotom1,Diospyros,,Ebenaceae,Diospyros 
7616,Diospyros sppSemengoh1,Diospyros,,Ebenaceae,Diospyros 
7617,Diospyros sppTEAM1,Diospyros,,Ebenaceae,Diospyros 
7618,Diospyros sppTEAM2,Diospyros,,Ebenaceae,Diospyros 
7619,Diospyros sppTEAM3,Diospyros,,Ebenaceae,Diospyros 
7620,Diospyros sppTahuampa1,Diospyros,,Ebenaceae,Diospyros 
7621,Diospyros sppTamboall1,Diospyros,,Ebenaceae,Diospyros 
7622,Diospyros sppUS1,Diospyros,,Ebenaceae,Diospyros 
7623,Diospyros sppVE1,Diospyros,,Ebenaceae,Diospyros 
7624,Diospyros suaveolens,Diospyros,suaveolens,Ebenaceae,Diospyros suaveolens
7625,Diospyros subrotata,Diospyros,subrotata,Ebenaceae,Diospyros subrotata
7626,Diospyros sumatrana,Diospyros,sumatrana,Ebenaceae,Diospyros sumatrana
7627,Diospyros sunabarina,Diospyros,,Ebenaceae,Diospyros
7628,Diospyros sylvatica,Diospyros,sylvatica,Ebenaceae,Diospyros sylvatica
7629,Diospyros tessellaria,Diospyros,tessellaria,Ebenaceae,Diospyros tessellaria
7630,Diospyros tetrasperma,Diospyros,tetrasperma,Ebenaceae,Diospyros tetrasperma
7631,Diospyros texana,Diospyros,texana,Ebenaceae,Diospyros texana
7632,Diospyros thomasii,Diospyros,thomasii,Ebenaceae,Diospyros thomasii
7633,Diospyros tireliae,Diospyros,tireliae,Ebenaceae,Diospyros tireliae
7634,Diospyros tristis,Diospyros,tristis,Ebenaceae,Diospyros tristis
7635,Diospyros trisulca,Diospyros,trisulca,Ebenaceae,Diospyros trisulca
7636,Diospyros undabunda,Diospyros,undabunda,Ebenaceae,Diospyros undabunda
7637,Diospyros undulata,Diospyros,undulata,Ebenaceae,Diospyros undulata
7638,Diospyros venosa,Diospyros,venosa,Ebenaceae,Diospyros venosa
7639,Diospyros verrucosa,Diospyros,verrucosa,Ebenaceae,Diospyros verrucosa
7640,Diospyros vestita,Diospyros,vestita,Ebenaceae,Diospyros vestita
7641,Diospyros vignei,Diospyros,vignei,Ebenaceae,Diospyros vignei
7642,Diospyros virginiana,Diospyros,virginiana,Ebenaceae,Diospyros virginiana
7643,Diospyros viridicans,Diospyros,viridicans,Ebenaceae,Diospyros viridicans
7644,Diospyros vitiensis,Diospyros,vitiensis,Ebenaceae,Diospyros vitiensis
7645,Diospyros xylopioides,Diospyros,xylopioides,Ebenaceae,Diospyros xylopioides
7646,Diospyros zenkeri,Diospyros,zenkeri,Ebenaceae,Diospyros zenkeri
7647,Diphasia angolensis,Diphasia,angolensis,Rutaceae,Diphasia angolensis
7648,Diphia sppGT1,Dilophia,,Brassicaceae,Dilophia 
7649,Dipholis minutiflora,Dipholis,minutiflora,Sapotaceae,Dipholis minutiflora
7650,Dipholis stevensonii,Dipholis,stevensonii,Sapotaceae,Dipholis stevensonii
7651,Diphysa americana,Diphysa,americana,Fabaceae,Diphysa americana
7652,Diphysa carthagenensis,Diphysa,carthagenensis,Fabaceae,Diphysa carthagenensis
7653,Diphysa floribunda,Diphysa,floribunda,Fabaceae,Diphysa floribunda
7654,Diphysa robinoides,Diphysa,robinioides,Fabaceae,Diphysa robinioides
7655,Diphysa sppChamela21,Diphysa,,Fabaceae,Diphysa 
7656,Diphysa sppQuiapaca1,Diphysa,,Fabaceae,Diphysa 
7657,Diplazium striatastrum,Diplazium,striatastrum,Athyriaceae,Diplazium striatastrum
7658,Diplodiscus paniculatus,Diplodiscus,paniculatus,Malvaceae,Diplodiscus paniculatus
7659,Diploglottis australis,Diploglottis,australis,Sapindaceae,Diploglottis australis
7660,Diplokeleba floribunda,Diplokeleba,floribunda,Sapindaceae,Diplokeleba floribunda
7661,Diploon cuspidatum,Diploon,cuspidatum,Sapotaceae,Diploon cuspidatum
7662,Diploon sppFPnet1,Diploon,,Sapotaceae,Diploon 
7663,Diplopterys cabrerana,Diplopterys,cabrerana,Malpighiaceae,Diplopterys cabrerana
7664,Diplospora dubia,Diplospora,dubia,Rubiaceae,Diplospora dubia
7665,Diplospora malaccensis,Diplospora,malaccensis,Rubiaceae,Diplospora malaccensis
7666,Diplotropis brasiliensis,Diplotropis,brasiliensis,Fabaceae,Diplotropis brasiliensis
7667,Diplotropis incexis,Diplotropis,incexis,Fabaceae,Diplotropis incexis
7668,Diplotropis martiusii,Diplotropis,martiusii,Fabaceae,Diplotropis martiusii
7669,Diplotropis peruviana,Diplotropis,peruviana,Fabaceae,Diplotropis peruviana
7670,Diplotropis purpurea,Diplotropis,purpurea,Fabaceae,Diplotropis purpurea
7671,Diplotropis rodriguesii,Diplotropis,rodriguesii,Fabaceae,Diplotropis rodriguesii
7672,Diplotropis sppFPnet1,Diplotropis,,Fabaceae,Diplotropis 
7673,Diplotropis sppGF1,Diplotropis,,Fabaceae,Diplotropis 
7674,Diplotropis sppPE1,Diplotropis,,Fabaceae,Diplotropis 
7675,Diplotropis sppRAINFOR1,Diplotropis,,Fabaceae,Diplotropis 
7676,Diplotropis sppRioheath1,Diplotropis,,Fabaceae,Diplotropis 
7677,Diplotropis sppRionegro1,Diplotropis,,Fabaceae,Diplotropis 
7678,Diplotropis sppRiotavar1,Diplotropis,,Fabaceae,Diplotropis 
7679,Diplotropis sppTEAM1,Diplotropis,,Fabaceae,Diplotropis 
7680,Diplotropis sppTEAM2,Diplotropis,,Fabaceae,Diplotropis 
7681,Diplotropis sppTamblat21,Diplotropis,,Fabaceae,Diplotropis 
7682,Diplotropis triloba,Diplotropis,triloba,Fabaceae,Diplotropis triloba
7683,Diporidium greveanum,Diporidium,greveanum,Ochnaceae,Diporidium greveanum
7684,Dipterocapus sppVN1,Dipterocarpus,,Dipterocarpaceae,Dipterocarpus 
7685,Dipterocarpus alatus,Dipterocarpus,alatus,Dipterocarpaceae,Dipterocarpus alatus
7686,Dipterocarpus baudii,Dipterocarpus,baudii,Dipterocarpaceae,Dipterocarpus baudii
7687,Dipterocarpus borneensis,Dipterocarpus,borneensis,Dipterocarpaceae,Dipterocarpus borneensis
7688,Dipterocarpus cornutus,Dipterocarpus,cornutus,Dipterocarpaceae,Dipterocarpus cornutus
7689,Dipterocarpus costulatus,Dipterocarpus,costulatus,Dipterocarpaceae,Dipterocarpus costulatus
7690,Dipterocarpus crinitus,Dipterocarpus,crinitus,Dipterocarpaceae,Dipterocarpus crinitus
7691,Dipterocarpus eurynchus,Dipterocarpus,eurhynchus,Dipterocarpaceae,Dipterocarpus eurhynchus
7692,Dipterocarpus geniculatus,Dipterocarpus,geniculatus,Dipterocarpaceae,Dipterocarpus geniculatus
7693,Dipterocarpus gracilis,Dipterocarpus,gracilis,Dipterocarpaceae,Dipterocarpus gracilis
7694,Dipterocarpus hasseltii,Dipterocarpus,hasseltii,Dipterocarpaceae,Dipterocarpus hasseltii
7695,Dipterocarpus humeratus,Dipterocarpus,humeratus,Dipterocarpaceae,Dipterocarpus humeratus
7696,Dipterocarpus intricatus,Dipterocarpus,intricatus,Dipterocarpaceae,Dipterocarpus intricatus
7697,Dipterocarpus kunstleri,Dipterocarpus,kunstleri,Dipterocarpaceae,Dipterocarpus kunstleri
7698,Dipterocarpus littoralis,Dipterocarpus,littoralis,Dipterocarpaceae,Dipterocarpus littoralis
7699,Dipterocarpus obtusifolius,Dipterocarpus,obtusifolius,Dipterocarpaceae,Dipterocarpus obtusifolius
7700,Dipterocarpus palembanicus,Dipterocarpus,palembanicus,Dipterocarpaceae,Dipterocarpus palembanicus
7701,Dipterocarpus retusus,Dipterocarpus,retusus,Dipterocarpaceae,Dipterocarpus retusus
7702,Dipterocarpus sppKhaoyai1,Dipterocarpus,,Dipterocarpaceae,Dipterocarpus 
7703,Dipterocarpus sppLA1,Dipterocarpus,,Dipterocarpaceae,Dipterocarpus 
7704,Dipterocarpus sppVN1,Dipterocarpus,,Dipterocarpaceae,Dipterocarpus 
7705,Dipterocarpus sublamellatus,Dipterocarpus,sublamellatus,Dipterocarpaceae,Dipterocarpus sublamellatus
7706,Dipterocarpus tuberculatus,Dipterocarpus,tuberculatus,Dipterocarpaceae,Dipterocarpus tuberculatus
7707,Dipterocarpus turbinatus,Dipterocarpus,turbinatus,Dipterocarpaceae,Dipterocarpus turbinatus
7708,Dipterodendron costaricense,Dipterodendron,costaricense,Sapindaceae,Dipterodendron costaricense
7709,Dipteropeltis poranoides,Dipteropeltis,poranoides,Convolvulaceae,Dipteropeltis poranoides
7710,Dipteryx alata,Dipteryx,alata,Fabaceae,Dipteryx alata
7711,Dipteryx ferrea,Dipteryx,ferrea,Fabaceae,Dipteryx ferrea
7712,Dipteryx magnifica,Dipteryx,magnifica,Fabaceae,Dipteryx magnifica
7713,Dipteryx micrantha,Dipteryx,micrantha,Fabaceae,Dipteryx micrantha
7714,Dipteryx odorata,Dipteryx,odorata,Fabaceae,Dipteryx odorata
7715,Dipteryx oleifera,Dipteryx,oleifera,Fabaceae,Dipteryx oleifera
7716,Dipteryx oppositifolia,Dipteryx,oppositifolia,Fabaceae,Dipteryx oppositifolia
7717,Dipteryx panamensis,Dipteryx,panamensis,Fabaceae,Dipteryx panamensis
7718,Dipteryx polyphylla,Dipteryx,polyphylla,Fabaceae,Dipteryx polyphylla
7719,Dipteryx punctata,Dipteryx,punctata,Fabaceae,Dipteryx punctata
7720,Dipteryx sppAraracua1,Dipteryx,,Fabaceae,Dipteryx 
7721,Dipteryx sppBOi1,Dipteryx,,Fabaceae,Dipteryx 
7722,Dipteryx sppCarajas1,Dipteryx,,Fabaceae,Dipteryx 
7723,Dipteryx sppCentinel1,Dipteryx,,Fabaceae,Dipteryx 
7724,Dipteryx sppCuzcoama1,Dipteryx,,Fabaceae,Dipteryx 
7725,Dipteryx sppFPnet1,Dipteryx,,Fabaceae,Dipteryx 
7726,Dipteryx sppGF1,Dipteryx,,Fabaceae,Dipteryx 
7727,Dipteryx sppLaselva1,Dipteryx,,Fabaceae,Dipteryx 
7728,Dipteryx sppMadidiri1,Dipteryx,,Fabaceae,Dipteryx 
7729,Dipteryx sppMishws1,Dipteryx,,Fabaceae,Dipteryx 
7730,Dipteryx sppNuevomun1,Dipteryx,,Fabaceae,Dipteryx 
7731,Dipteryx sppRiomanso1,Dipteryx,,Fabaceae,Dipteryx 
7732,Dipteryx sppRiotavar1,Dipteryx,,Fabaceae,Dipteryx 
7733,Dipteryx sppSCA1,Dipteryx,,Fabaceae,Dipteryx 
7734,Dipteryx sppSR1,Dipteryx,,Fabaceae,Dipteryx 
7735,Dipteryx sppTamboall1,Dipteryx,,Fabaceae,Dipteryx 
7736,Diptychandra aurantiaca,Diptychandra,aurantiaca,Fabaceae,Diptychandra aurantiaca
7737,Dirca palustris,Dirca,palustris,Thymelaeaceae,Dirca palustris
7738,Discaria toumatou,Discaria,toumatou,Rhamnaceae,Discaria toumatou
7739,Dischidia acuminata,Dischidia,acuminata,Apocynaceae,Dischidia acuminata
7740,Disciphania inversa,Disciphania,inversa,Menispermaceae,Disciphania inversa
7741,Disciphania juliflora,Disciphania,juliflora,Menispermaceae,Disciphania juliflora
7742,Disciphania sppCuevas1,Disciphania,,Menispermaceae,Disciphania 
7743,Disciphania sppFarall1,Disciphania,,Menispermaceae,Disciphania 
7744,Disciphania sppLinhares1,Disciphania,,Menispermaceae,Disciphania 
7745,Disciphania sppMurri1,Disciphania,,Menispermaceae,Disciphania 
7746,Disciphania sppOsasiren1,Disciphania,,Menispermaceae,Disciphania 
7747,Discocalyx cybianthoides,Discocalyx,cybianthoides,Primulaceae,Discocalyx cybianthoides
7748,Discocalyx insignis,Discocalyx,insignis,Primulaceae,Discocalyx insignis
7749,Discocalyx ponapensis,Discocalyx,ponapensis,Primulaceae,Discocalyx ponapensis
7750,Discocalyx sppPalanan1,Discocalyx,,Primulaceae,Discocalyx 
7751,Discocarpus pedicellatus,Discocarpus,pedicellatus,Phyllanthaceae,Discocarpus pedicellatus
7752,Discocarpus sppSCA1,Discocarpus,,Phyllanthaceae,Discocarpus 
7753,Discoclaoxylon hexandrum,Discoclaoxylon,hexandrum,Euphorbiaceae,Discoclaoxylon hexandrum
7754,Discoglypremma caloneura,Discoglypremna,caloneura,Euphorbiaceae,Discoglypremna caloneura
7755,Discoglypremna caloneura,Discoglypremna,caloneura,Euphorbiaceae,Discoglypremna caloneura
7756,Discophora froesii,Discophora,froesii,Stemonuraceae,Discophora froesii
7757,Discophora guianensis,Discophora,guianensis,Stemonuraceae,Discophora guianensis
7758,Discopodium penninervium,Discopodium,penninervium,Solanaceae,Discopodium penninervium
7759,Dissochaeta sppGenting1,Dissochaeta,,Melastomataceae,Dissochaeta 
7760,Dissochaeta sppGenting2,Dissochaeta,,Melastomataceae,Dissochaeta 
7761,Distemonanthus benthamianus,Distemonanthus,benthamianus,Fabaceae,Distemonanthus benthamianus
7762,Disterigma alaternoides,Disterigma,alaternoides,Ericaceae,Disterigma alaternoides
7763,Distictella chocoensis,Distictella,chocoensis,Bignoniaceae,Distictella chocoensis
7764,Distictella dasytricha,Distictella,dasytricha,Bignoniaceae,Distictella dasytricha
7765,Distictella magnoliaefolia,Distictella,magnoliifolia,Bignoniaceae,Distictella magnoliifolia
7766,Distictella magnoliifolia,Distictella,magnoliifolia,Bignoniaceae,Distictella magnoliifolia
7767,Distictella sppMagsasay1,Distictella,,Bignoniaceae,Distictella 
7768,Distictella sppMiazi1,Distictella,,Bignoniaceae,Distictella 
7769,Distictis granulosa,Distictis,granulosa,Bignoniaceae,Distictis granulosa
7770,Distictis lactiflora,Distictis,lactiflora,Bignoniaceae,Distictis lactiflora
7771,Distictis occidentalis,Distictis,occidentalis,Bignoniaceae,Distictis occidentalis
7772,Distictis pulverulenta,Distictis,pulverulenta,Bignoniaceae,Distictis pulverulenta
7773,Distylium racemosum,Distylium,racemosum,Hamamelidaceae,Distylium racemosum
7774,Ditta myricoides,Ditta,myricoides,Euphorbiaceae,Ditta myricoides
7775,Docynia indica,Docynia,indica,Rosaceae,Docynia indica
7776,Dodecastigma amazonicum,Dodecastigma,amazonicum,Euphorbiaceae,Dodecastigma amazonicum
7777,Dodecastigma integrifolium,Dodecastigma,integrifolium,Euphorbiaceae,Dodecastigma integrifolium
7778,Dodecastigma sppTEAM1,Dodecastigma,,Euphorbiaceae,Dodecastigma 
7779,Dodonaea triquetra,Dodonaea,triquetra,Sapindaceae,Dodonaea triquetra
7780,Dodonaea viscosa,Dodonaea,viscosa,Sapindaceae,Dodonaea viscosa
7781,Dolichandrone rheedii,Dolichandrone,rheedei,Bignoniaceae,Dolichandrone rheedei
7782,Dolichandrone spathacea,Dolichandrone,spathacea,Bignoniaceae,Dolichandrone spathacea
7783,Doliocarpus amazonicus,Doliocarpus,amazonicus,Dilleniaceae,Doliocarpus amazonicus
7784,Doliocarpus denstatus,Doliocarpus,dentatus,Dilleniaceae,Doliocarpus dentatus
7785,Doliocarpus dentatus,Doliocarpus,dentatus,Dilleniaceae,Doliocarpus dentatus
7786,Doliocarpus hispedifolius,Doliocarpus,,Dilleniaceae,Doliocarpus
7787,Doliocarpus macrocarpus,Doliocarpus,macrocarpus,Dilleniaceae,Doliocarpus macrocarpus
7788,Doliocarpus magnificus,Doliocarpus,magnificus,Dilleniaceae,Doliocarpus magnificus
7789,Doliocarpus major,Doliocarpus,major,Dilleniaceae,Doliocarpus major
7790,Doliocarpus multiflorus,Doliocarpus,multiflorus,Dilleniaceae,Doliocarpus multiflorus
7791,Doliocarpus olivaceous,Doliocarpus,olivaceus,Dilleniaceae,Doliocarpus olivaceus
7792,Doliocarpus sppAlterdoc1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7793,Doliocarpus sppBelem1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7794,Doliocarpus sppBerbicer1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7795,Doliocarpus sppCalima1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7796,Doliocarpus sppCalima2,Doliocarpus,,Dilleniaceae,Doliocarpus 
7797,Doliocarpus sppCamorin1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7798,Doliocarpus sppCarajas1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7799,Doliocarpus sppDureno1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7800,Doliocarpus sppLaselva1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7801,Doliocarpus sppLinhares1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7802,Doliocarpus sppMadidi1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7803,Doliocarpus sppMagsasay1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7804,Doliocarpus sppManaus1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7805,Doliocarpus sppMariquit1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7806,Doliocarpus sppMurri1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7807,Doliocarpus sppOsasiren1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7808,Doliocarpus sppRanchoqu1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7809,Doliocarpus sppRiomanso1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7810,Doliocarpus sppRiomanso2,Doliocarpus,,Dilleniaceae,Doliocarpus 
7811,Doliocarpus sppSCA1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7812,Doliocarpus sppSCA2,Doliocarpus,,Dilleniaceae,Doliocarpus 
7813,Doliocarpus sppTahuampa1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7814,Doliocarpus sppTambo1,Doliocarpus,,Dilleniaceae,Doliocarpus 
7815,Dombeya acerifolia,Dombeya,acerifolia,Malvaceae,Dombeya acerifolia
7816,Dombeya ambalabeensis,Dombeya,ambalabeensis,Malvaceae,Dombeya ambalabeensis
7817,Dombeya angystifolia,Dombeya,,Malvaceae,Dombeya
7818,Dombeya ankarafantsikae,Dombeya,ankarafantsikae,Malvaceae,Dombeya ankarafantsikae
7819,Dombeya antsianakensis,Dombeya,antsianakensis,Malvaceae,Dombeya antsianakensis
7820,Dombeya goetzenii,Dombeya,goetzenii,Malvaceae,Dombeya goetzenii
7821,Dombeya hilsenbergii,Dombeya,hilsenbergii,Malvaceae,Dombeya hilsenbergii
7822,Dombeya laurifolia,Dombeya,laurifolia,Malvaceae,Dombeya laurifolia
7823,Dombeya lucida,Dombeya,lucida,Malvaceae,Dombeya lucida
7824,Dombeya rotundifolia,Dombeya,rotundifolia,Malvaceae,Dombeya rotundifolia
7825,Dombeya sppAnkarif1,Dombeya,,Malvaceae,Dombeya 
7826,Dombeya sppAnkarif2,Dombeya,,Malvaceae,Dombeya 
7827,Dombeya sppNosymang1,Dombeya,,Malvaceae,Dombeya 
7828,Dombeya torrida,Dombeya,torrida,Malvaceae,Dombeya torrida
7829,Domohinea sppPerinet1,Domohinea,,Euphorbiaceae,Domohinea 
7830,Donella pruniformis,Donella,pruniformis,Sapotaceae,Donella pruniformis
7831,Donella sppGA1,Donella,,Sapotaceae,Donella 
7832,Dorstenia scaphigera,Dorstenia,scaphigera,Moraceae,Dorstenia scaphigera
7833,Doryphora aromatica,Doryphora,aromatica,Atherospermataceae,Doryphora aromatica
7834,Dovyalis caffra,Dovyalis,caffra,Salicaceae,Dovyalis caffra
7835,Dovyalis zenkeri,Dovyalis,zenkeri,Salicaceae,Dovyalis zenkeri
7836,Dracaena adamii,Dracaena,adamii,Asparagaceae,Dracaena adamii
7837,Dracaena afromontana,Dracaena,afromontana,Asparagaceae,Dracaena afromontana
7838,Dracaena americana,Dracaena,americana,Asparagaceae,Dracaena americana
7839,Dracaena angustifolia,Dracaena,angustifolia,Asparagaceae,Dracaena angustifolia
7840,Dracaena arborea,Dracaena,arborea,Asparagaceae,Dracaena arborea
7841,Dracaena brachystachys,Dracaena,brachystachys,Asparagaceae,Dracaena brachystachys
7842,Dracaena cerasifera,Dracaena,cerasifera,Asparagaceae,Dracaena cerasifera
7843,Dracaena elliptica,Dracaena,elliptica,Asparagaceae,Dracaena elliptica
7844,Dracaena fragrans,Dracaena,fragrans,Asparagaceae,Dracaena fragrans
7845,Dracaena laxissima,Dracaena,laxissima,Asparagaceae,Dracaena laxissima
7846,Dracaena mannii,Dracaena,mannii,Asparagaceae,Dracaena mannii
7847,Dracaena multiflora,Dracaena,multiflora,Asparagaceae,Dracaena multiflora
7848,Dracaena reflexa,Dracaena,reflexa,Asparagaceae,Dracaena reflexa
7849,Dracaena sppCDi1,Dracaena,,Asparagaceae,Dracaena 
7850,Dracaena sppFPnet1,Dracaena,,Asparagaceae,Dracaena 
7851,Dracaena sppGenting1,Dracaena,,Asparagaceae,Dracaena 
7852,Dracaena sppGenting2,Dracaena,,Asparagaceae,Dracaena 
7853,Dracaena sppNosymang1,Dracaena,,Asparagaceae,Dracaena 
7854,Dracaena sppNosymang2,Dracaena,,Asparagaceae,Dracaena 
7855,Dracaena sppNosymang3,Dracaena,,Asparagaceae,Dracaena 
7856,Dracaena sppNosymang4,Dracaena,,Asparagaceae,Dracaena 
7857,Dracaena sppPerinet1,Dracaena,,Asparagaceae,Dracaena 
7858,Dracaena steadier,Dracaena,,Asparagaceae,Dracaena 
7859,Dracaena steudneri,Dracaena,steudneri,Asparagaceae,Dracaena steudneri
7860,Dracaena xiphophylla,Dracaena,xiphophylla,Asparagaceae,Dracaena xiphophylla
7861,Dracontomelon brinco,Dracontomelon,brinco,Anacardiaceae,Dracontomelon brinco
7862,Dracontomelon dao,Dracontomelon,dao,Anacardiaceae,Dracontomelon dao
7863,Dracontomelon duperreanum,Dracontomelon,duperreanum,Anacardiaceae,Dracontomelon duperreanum
7864,Dracontomelon edule,Dracontomelon,edule,Anacardiaceae,Dracontomelon edule
7865,Dracontomelon vitiense,Dracontomelon,vitiense,Anacardiaceae,Dracontomelon vitiense
7866,Dracontomelum mangiferum,Dracontomelon,mangiferum,Anacardiaceae,Dracontomelon mangiferum
7867,Dracophyllum elegantissimum,Dracophyllum,elegantissimum,Ericaceae,Dracophyllum elegantissimum
7868,Dracophyllum filifolium,Dracophyllum,filifolium,Ericaceae,Dracophyllum filifolium
7869,Dracophyllum latifolium,Dracophyllum,latifolium,Ericaceae,Dracophyllum latifolium
7870,Dracophyllum longifolium,Dracophyllum,longifolium,Ericaceae,Dracophyllum longifolium
7871,Dracophyllum sinclairii,Dracophyllum,sinclairii,Ericaceae,Dracophyllum sinclairii
7872,Dracophyllum townsonii,Dracophyllum,townsonii,Ericaceae,Dracophyllum townsonii
7873,Dracophyllum traversii,Dracophyllum,traversii,Ericaceae,Dracophyllum traversii
7874,Dregea volubilis,Dregea,volubilis,Apocynaceae,Dregea volubilis
7875,Drimycarpus luridus,Drimycarpus,luridus,Anacardiaceae,Drimycarpus luridus
7876,Drimys angustifolia,Drimys,angustifolia,Winteraceae,Drimys angustifolia
7877,Drimys brasiliensis,Drimys,brasiliensis,Winteraceae,Drimys brasiliensis
7878,Drimys granadensis,Drimys,granadensis,Winteraceae,Drimys granadensis
7879,Drimys granatensis,Drimys,granatensis,Winteraceae,Drimys granatensis
7880,Drimys insipida,Drimys,insipida,Winteraceae,Drimys insipida
7881,Drimys sppAchupall1,Drimys,,Winteraceae,Drimys 
7882,Drimys sppAltosapa1,Drimys,,Winteraceae,Drimys 
7883,Drimys sppCarpanta1,Drimys,,Winteraceae,Drimys 
7884,Drimys sppGT1,Drimys,,Winteraceae,Drimys 
7885,Drimys sppSietecue1,Drimys,,Winteraceae,Drimys 
7886,Drimys winteri,Drimys,winteri,Winteraceae,Drimys winteri
7887,Drymis granatensis,Drimys,granatensis,Winteraceae,Drimys granatensis
7888,Drymis winteri,Drimys,winteri,Winteraceae,Drimys winteri
7889,Drymonia alloplectoides,Drymonia,alloplectoides,Gesneriaceae,Drymonia alloplectoides
7890,Drymonia laciniosa,Drymonia,laciniosa,Gesneriaceae,Drymonia laciniosa
7891,Drymonia serrulata,Drymonia,serrulata,Gesneriaceae,Drymonia serrulata
7892,Drymonia sppCalima1,Drymonia,,Gesneriaceae,Drymonia 
7893,Drymonia sppLaplanad1,Drymonia,,Gesneriaceae,Drymonia 
7894,Drymonia sppMurri1,Drymonia,,Gesneriaceae,Drymonia 
7895,Dryobalanops beccarii,Dryobalanops,beccarii,Dipterocarpaceae,Dryobalanops beccarii
7896,Drypetes aframensis,Drypetes,aframensis,Putranjivaceae,Drypetes aframensis
7897,Drypetes afzelii,Drypetes,afzelii,Putranjivaceae,Drypetes afzelii
7898,Drypetes alba,Drypetes,alba,Putranjivaceae,Drypetes alba
7899,Drypetes amazonica,Drypetes,amazonica,Putranjivaceae,Drypetes amazonica
7900,Drypetes americana,Drypetes,,Putranjivaceae,Drypetes
7901,Drypetes angustifolia,Drypetes,angustifolia,Putranjivaceae,Drypetes angustifolia
7902,Drypetes aubrevillei,Drypetes,aubrevillei,Putranjivaceae,Drypetes aubrevillei
7903,Drypetes aylmeri,Drypetes,aylmeri,Putranjivaceae,Drypetes aylmeri
7904,Drypetes bakembei,Drypetes,bakembei,Putranjivaceae,Drypetes bakembei
7905,Drypetes bipindensis,Drypetes,bipindensis,Putranjivaceae,Drypetes bipindensis
7906,Drypetes brownii,Drypetes,brownii,Putranjivaceae,Drypetes brownii
7907,Drypetes calvescens,Drypetes,calvescens,Putranjivaceae,Drypetes calvescens
7908,Drypetes capillipes,Drypetes,capillipes,Putranjivaceae,Drypetes capillipes
7909,Drypetes chevalieri,Drypetes,chevalieri,Putranjivaceae,Drypetes chevalieri
7910,Drypetes cinnabarina,Drypetes,cinnabarina,Putranjivaceae,Drypetes cinnabarina
7911,Drypetes dinklagei,Drypetes,dinklagei,Putranjivaceae,Drypetes dinklagei
7912,Drypetes dolichocarpa,Drypetes,dolichocarpa,Putranjivaceae,Drypetes dolichocarpa
7913,Drypetes fallax,Drypetes,fallax,Putranjivaceae,Drypetes fallax
7914,Drypetes fanshawei,Drypetes,fanshawei,Putranjivaceae,Drypetes fanshawei
7915,Drypetes gentryi,Drypetes,gentryi,Putranjivaceae,Drypetes gentryi
7916,Drypetes gerrardii,Drypetes,gerrardii,Putranjivaceae,Drypetes gerrardii
7917,Drypetes gilgiana,Drypetes,gilgiana,Putranjivaceae,Drypetes gilgiana
7918,Drypetes glauca,Drypetes,glauca,Putranjivaceae,Drypetes glauca
7919,Drypetes gossweileri,Drypetes,gossweileri,Putranjivaceae,Drypetes gossweileri
7920,Drypetes ilicifolia,Drypetes,ilicifolia,Putranjivaceae,Drypetes ilicifolia
7921,Drypetes indica,Drypetes,indica,Putranjivaceae,Drypetes indica
7922,Drypetes ituriensis,Drypetes,ituriensis,Putranjivaceae,Drypetes ituriensis
7923,Drypetes ivorensis,Drypetes,ivorensis,Putranjivaceae,Drypetes ivorensis
